
param nuTrabajadores:=32;
param nuTareas:=15;
param coste:=
1 1 
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 2
10 2
11 2
12 2
13 2
14 2
15 2
16 3
17 3
18 3
19 3
20 4
21 4
22 4
23 4
24 5
25 5
26 6
27 6 
28 6 
29 6
30 7
31 8
32 9;
param cualificacion default 0 := 
[1,*] 1 1 9 1 19 1 22 1 25 1 28 1 31 1
[2,*] 2 1 12 1 15 1 19 1 21 1 23 1 27 1 29 1 30 1 31 1 32 1
[3,*] 3 1 10 1 19 1 24 1 26 1 30 1 32 1
[4,*] 4 1 21 1 25 1 28 1 32 1
[5,*] 5 1 11 1 16 1 22 1 23 1 27 1 31 1
[6,*] 6 1 20 1 24 1 26 1 30 1 32 1
[7,*] 7 1 12 1 17 1 25 1 30 1 31 1
[8,*] 8 1 17 1 20 1 22 1 23 1
[9,*] 9 1 13 1 14 1 26 1 29 1 30 1 31 1
[10,*] 10 1 21 1 25 1 31 1 32 1 
[11,*] 14 1 15 1 18 1 23 1 24 1 27 1 30 1 32 1
[12,*] 18 1 19 1 22 1 24 1 26 1 29 1 31 1
[13,*] 11 1 20 1 25 1 28 1 30 1 32 1
[14,*] 16 1 19 1 23 1 31 1
[15,*] 9 1 18 1 26 1 28 1 31 1 32 1
;

